TIPO,VIA,TRATTI,CIRC.,FREQ.,LUN,MAR,MER,GIO,VEN,SAB,ITINERARIO,SEDE
VICOLO,ABELA,,8,bisett.,,x,,,x,,C8B31,STRAZZERI
VIA,ABELA GAETANO,,8,bisett.,,x,,,x,,C8B31,STRAZZERI
VIA,ABRUZZI,Sardegna - Umbria,8,sett.,,x,,,,,C8S38,MOZART
VIA,ABRUZZI,Umbria - Lazio,8,sett.,,,x,,,,C8S39,MOZART
CORTILE,ACQUASANTA,,8,sett.,,,,,,x,C8S24,STRAZZERI
PIAZZA,ACQUASANTA,,8,trisett.,,x,,x,,x,C8T21,STRAZZERI
VICOLO,ADDOLORATA,,1,bisett.,,x,,,x,,C1B06,STRAZZERI
VICOLO,AGALBATO,,1,sett.,,,,,,x,C1S06,STRAZZERI
VICOLO,AGNETTA,,1,sett.,,,,,,x,C1S06,STRAZZERI
VIA,AGRIGENTO,Sammartino - Libertà,8,bisett.,x,,,x,,,C8B26,STRAZZERI
VIA,AIROLDI CESARE,,8,sett.,,,x,,,,C8S15,STRAZZERI
VIA,ALAIMO DA LENTINI,,8,bisett.,x,,,x,,,C8B13,STRAZZERI
VIA,ALBANESE ENRICO,Libertà - Calvi,8,trisett.,,x,,x,,x,C8T07,STRAZZERI
VIA,ALBANESE ENRICO,Calvi - Ucciardone (compresa bretella interna Ucciardone),8,trisett.,,x,,x,,x,C8T08,STRAZZERI
VIA,ALBERGHERIA,,1,bisett.,,x,,,x,,C1B14,CAMPISI
CORSO,ALBERTO AMEDEO,"P.za Porta Guccia -C.so F. Aprile (entrambe le
carreggiate sopraelevate)",1,trisett.,x,,x,,x,,C1T11,STRAZZERI
VIA,ALESSI GIUSEPPE,,8,trisett.,x,,x,,x,,C8T18,MOZART
LARGO,ALFANO EDOARDO,,8,bisett.,,,x,,,x,C8B06,STRAZZERI
VIA,ALFIERI VITTORIO,,8,bisett.,,,x,,,x,C8B43,MOZART
VIA,ALLORO,Torremuzza - della Vetriera,1,giorn.,x,x,x,x,x,x,C1G01,INGHAM
VIA,ALLORO,della Vetriera - P.za Aragona,1,trisett.,,x,,x,,x,C1T06,INGHAM
PIAZZETTA,ALTAVILLA,,8,sett.,,,,,,x,C8S24,STRAZZERI
VIA,ALTAVILLA,Isaac Rabin - Thaon De Revel,8,sett.,,,x,,,,C8S21,MOZART
VIA,ALTAVILLA,Thaon De Revel -Rizzo,8,sett.,,,x,,,,C8S21,MOZART
VIA,AMARI EMERICO,Via Ruggero Settimo - Via Roma,8,giorn.,x,x,x,x,x,x,C8G06,STRAZZERI
VIA,AMARI EMERICO,Roma - Crispi (comprese le bretelle laterali),8,giorn.,x,x,x,x,x,x,C8G05,STRAZZERI
VIA,AMARI MICHELE,Emerico Amari - P.pe di Belmonte,8,bisett.,x,,,x,,,C8B04,STRAZZERI
VIA,AMARI MICHELE,Stabile - P.pe di Belmonte,8,bisett.,,x,,,x,,C8B05,STRAZZERI
CORTILE,AMATO (1),,8,bisett.,,x,,,x,,C8B18,STRAZZERI
CORTILE,AMATO (2),,8,bisett.,,x,,,x,,C8B18,STRAZZERI
VIA,AMBRA,,1,bisett.,,x,,,x,,C1B07,STRAZZERI
PIAZZA,AMENDOLA GIOVANNI,compresi camminamenti interni villetta,8,trisett.,,x,,x,,x,C8T02,STRAZZERI
VIA,AMICO UGO ANTONIO,,1,trisett.,x,,x,,x,,C1T10,STRAZZERI
VIA,AMODEI PIETRO,,1,giorn.,x,x,x,x,x,x,C1G16,CAMPISI
VIA,ANDO' FLAVIO,,1,sett.,,,,x,,,C1S17,CAMPISI
VIA,ANGELINI TOMMASO,Di Maria - Terrasanta,8,bisett.,,x,,,x,,C8B24,MOZART
VIA,ANGELINO FRANCESCO,,8,sett.,,,,,x,,C8S23,MOZART
VIA,ANGELITTI FILIPPO,,8,sett.,,,x,,,,C8S27,MOZART
VIA,ANGIO',,8,sett.,x,,,,,,C8S13,STRAZZERI
CORTILE,ANIME SANTE,,8,sett.,,,x,,,,C8S03,STRAZZERI
VIA,ANIME SANTE,,8,sett.,,,x,,,,C8S03,STRAZZERI
VICOLO,ANTONELLO,,1,sett.,,,,,,x,C1S13,CAMPISI
VIA,ANTONELLO DA MESSINA,Impastato - Loria,8,sett.,,,x,,,,C8S15,STRAZZERI
VIA,ANTONELLO DA MESSINA,Impastato - Cantieri,8,bisett.,,x,,,x,,C8B11,STRAZZERI
PIAZZETTA,APPALTO,,1,bisett.,,x,,,x,,C1B07,STRAZZERI
VICOLO,APPALTO (1),,1,bisett.,,x,,,x,,C1B07,STRAZZERI
VICOLO,APPALTO (2),,1,bisett.,,x,,,x,,C1B07,STRAZZERI
VIA,AQUILEIA,Lazio - delle Alpi,8,bisett.,,,x,,,x,C8B37,MOZART
PIAZZA,ARAGONA,,1,giorn.,x,x,x,x,x,x,C1G04,INGHAM
VIA,ARAGONA,,1,trisett.,x,,x,,x,,C1T05,INGHAM
VIA,ARCHIMEDE,P.za della Pace - Calvi,8,bisett.,,x,,,x,,C8B08,STRAZZERI
VIA,ARCHIMEDE,Libertà - Carini,8,trisett.,x,,x,,x,,C8T06,STRAZZERI
VIA,ARENA ORESTE,,8,sett.,x,,,,,,C8S13,STRAZZERI
VIA,ARGENTERIA,,1,giorn.,x,x,x,x,x,x,mercati,INGHAM -RD
VIA,ARGENTERIA VECCHIA,,1,bisett.,,x,,,x,,C1B07,STRAZZERI
VIA,ARGENTIERI,,8,sett.,,,,x,,,C8S16,STRAZZERI
VIA,ARIMONDI GIUSEPPE GEN.,Villabianca - Sampolo,8,giorn.,x,x,x,x,x,x,C8G10,STRAZZERI
VIA,ARIMONDI GIUSEPPE GEN.,Libertà - Villabianca,8,bisett.,,x,,,x,,C8B18,STRAZZERI
VIA,ARIOSTO LUDOVICO,Pecoraro - Leopardi,8,bisett.,,x,,,x,,C8B48,MOZART
VIA,ARIOSTO LUDOVICO,Leopardi - Libertà,8,bisett.,,,x,,,x,C8B46,MOZART
PIAZZA,ARMSTRONG LOUIS DANIEL,,8,bisett.,x,,,x,,,C8B51,MOZART
SALITA,ARTALE,,1,sett.,,,,x,,,C1S11,CAMPISI
VICOLO,ARTALE,,1,sett.,,,,x,,,C1S11,CAMPISI
VIA,ASPROMONTE,,8,sett.,x,,,,,,C8S37,MOZART
CORTILE,AUFERI,,8,sett.,,,x,,,,C8S03,STRAZZERI
VIA,AUFERI,,8,sett.,,,x,,,,C8S03,STRAZZERI
VICOLO,AUFERI,,8,sett.,,,x,,,,C8S03,STRAZZERI
VICOLO,AVERNA,,1,bisett.,,,x,,,x,C1B20,CAMPISI
VIA,AVOLIO CORRADO,Tukory - Del Giudice,1,bisett.,x,,,x,,,C1B13,CAMPISI
PIAZZETTA,BAGNASCO FRANCESCO,,8,giorn.,x,x,x,x,x,x,C8G03,STRAZZERI
CORTILE,BAGNI MINERALI,,8,sett.,,,,x,,,C8S22,MOZART
VIA,BAGOLINO SEBASTIANO,,8,bisett.,x,,,x,,,C8B13,STRAZZERI
VIA,BAINSIZZA,,8,bisett.,,,x,,,x,C8B40,MOZART
VIA,BALDISSERA ANTONIO GEN.,,8,bisett.,,x,,,x,,C8B18,STRAZZERI
PIAZZA,BALLARO',,1,giorn.,x,x,x,x,x,x,mercati,INGHAM -RD
PIAZZETTA,BALLARO',,1,giorn.,x,x,x,x,x,x,C1G15,CAMPISI
VIA,BALLO TOMMASO,,8,sett.,,,,,,x,C8S30,MOZART
VIA,BALSANO SALESIO,,8,trisett.,x,,x,,x,,C8T01,STRAZZERI
DISCESA,BANDIERA,,1,bisett.,,,x,,,x,C1B08,STRAZZERI
VIA,BANDIERA,,1,bisett.,,,x,,,x,C1B08,STRAZZERI
VIA,BARA ALL'OLIVELLA,Roma - Maqueda,1,giorn.,x,x,x,x,x,x,C1G08,STRAZZERI
VIA,BARA ALL'OLIVELLA,Angelini - Roma,1,trisett.,,x,,x,,x,C1T12,STRAZZERI
VICOLO,BARA SULLE MURA DELL'ITRIA,,1,giorn.,x,x,x,x,x,x,C1G07,STRAZZERI
VIA,BARBARACI,,1,sett.,x,,,,,,C1S01,STRAZZERI
VIA,BARBAZZA ANDREA,,8,sett.,x,,,,,,C8S31,MOZART
VIA,BARBERA VINCENZO,,8,sett.,,,,x,,,C8S34,MOZART
